Year,Player_Name,Matches_Played,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Half_Centuries,Fours,Sixes,Catches_Taken,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Four_Wicket_Hauls
2024,Ruturaj Gaikwad,2,0,61,46,30.5,51,119.61,0,8,1,0,0,0,0,0,0
2023,Ruturaj Gaikwad,16,1,590,92,42.14,400,147.5,4,46,30,17,0,0,0,0,0
2022,Ruturaj Gaikwad,14,0,368,99,26.29,291,126.46,3,33,14,4,0,0,0,0,0
2021,Ruturaj Gaikwad,16,2,635,101*,45.35,466,136.26,4,64,23,6,0,0,0,0,0
2020,Ruturaj Gaikwad,6,2,204,72,51,169,120.71,3,16,6,4,0,0,0,0,0
2023,Devon Conway,16,2,672,92*,51.69,481,139.71,6,77,18,6,0,0,0,0,0
2022,Devon Conway,7,1,252,87,42,173,145.66,3,22,12,2,0,0,0,0,0
2024,MS Dhoni,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2023,MS Dhoni,16,8,104,32*,26,57,182.46,0,3,10,7,0,0,0,0,0
2022,MS Dhoni,14,6,232,50*,33.14,188,123.4,1,21,10,9,0,0,0,0,0
2021,MS Dhoni,16,4,114,18*,16.28,107,106.54,0,12,3,13,0,0,0,0,0
2020,MS Dhoni,14,4,200,47*,25,172,116.27,0,16,7,15,0,0,0,0,0
2019,MS Dhoni,15,7,416,84*,83.2,309,134.62,3,22,23,11,0,0,0,0,0
2018,MS Dhoni,16,9,455,79*,75.83,302,150.66,3,24,30,11,0,0,0,0,0
2017,MS Dhoni,16,4,290,61*,26.36,250,116,1,15,16,10,0,0,0,0,0
2016,MS Dhoni,14,5,284,64*,40.57,210,135.23,1,18,14,8,0,0,0,0,0
2015,MS Dhoni,17,5,372,53,31,305,121.96,1,27,17,8,0,0,0,0,0
2014,MS Dhoni,16,10,371,57*,74.2,250,148.4,1,22,20,3,0,0,0,0,0
2013,MS Dhoni,18,5,461,67*,41.9,283,162.89,4,32,25,15,0,0,0,0,0
2012,MS Dhoni,19,5,358,51*,29.83,278,128.77,1,26,9,12,0,0,0,0,0
2011,MS Dhoni,16,4,392,70*,43.55,247,158.7,2,25,23,5,0,0,0,0,0
2010,MS Dhoni,13,2,287,66*,31.88,210,136.66,2,26,8,5,0,0,0,0,0
2009,MS Dhoni,14,5,332,58*,41.5,261,127.2,2,22,9,4,0,0,0,0,0
2008,MS Dhoni,16,4,414,65,41.4,310,133.54,2,38,15,6,0,0,0,0,0
2024,Ajinkya Rahane,2,0,39,27,19.5,31,125.81,0,0,2,0,0,0,0,0,0
2023,Ajinkya Rahane,14,1,326,71*,32.6,189,172.49,2,24,16,8,0,0,0,0,0
2022,Ajinkya Rahane,7,0,133,44,19,128,103.91,0,14,4,3,0,0,0,0,0
2021,Ajinkya Rahane,2,0,8,8,8,8,100,0,1,0,0,0,0,0,0,0
2020,Ajinkya Rahane,9,0,113,60,14.12,107,105.6,1,12,2,4,0,0,0,0,0
2019,Ajinkya Rahane,14,1,393,105*,32.75,285,137.89,1,45,9,5,0,0,0,0,0
